player_id,full_name,team_id,position,start_cost,end_cost,now_cost,total_points,season_name,minutes,bonus,bonus_points,goals_scored,assists,selected_by,goals_conceded,clean_sheets,yellow_cards,red_cards,penalties_missed,saves,penalties_saved,avg_cost,roi
88734,Neil Etheridge,97,Goalkeeper,40.0,40.0,46,0.0,2013/14,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
60772,Thibaut Courtois,8,Goalkeeper,60.0,59.0,55,121.0,2014/15,2813.0,1.0,480.0,0.0,0.0,0.5,30.0,12.0,1.0,0.0,0.0,75.0,0.0,59.5,2.033613445378151
60772,Thibaut Courtois,8,Goalkeeper,55.0,53.0,55,69.0,2015/16,2018.0,1.0,388.0,0.0,0.0,0.5,31.0,5.0,1.0,2.0,0.0,67.0,1.0,54.0,1.2777777777777777
60772,Thibaut Courtois,8,Goalkeeper,55.0,59.0,55,141.0,2016/17,3240.0,0.0,623.0,0.0,0.0,0.5,28.0,16.0,1.0,0.0,0.0,69.0,0.0,57.0,2.473684210526316
60772,Thibaut Courtois,8,Goalkeeper,55.0,53.0,55,136.0,2017/18,3150.0,4.0,635.0,0.0,0.0,0.5,34.0,15.0,2.0,0.0,0.0,77.0,0.0,54.0,2.5185185185185186
20310,Willy Caballero,8,Goalkeeper,55.0,51.0,47,3.0,2014/15,180.0,0.0,24.0,0.0,0.0,0.1,4.0,0.0,0.0,0.0,0.0,6.0,0.0,53.0,0.05660377358490566
20310,Willy Caballero,8,Goalkeeper,50.0,48.0,47,12.0,2015/16,311.0,0.0,67.0,0.0,0.0,0.1,5.0,1.0,0.0,0.0,0.0,15.0,0.0,49.0,0.24489795918367346
20310,Willy Caballero,8,Goalkeeper,50.0,48.0,47,64.0,2016/17,1452.0,1.0,295.0,0.0,0.0,0.1,13.0,6.0,0.0,0.0,0.0,31.0,1.0,49.0,1.3061224489795917
20310,Willy Caballero,8,Goalkeeper,50.0,48.0,47,11.0,2017/18,270.0,0.0,54.0,0.0,0.0,0.1,4.0,1.0,0.0,0.0,0.0,7.0,0.0,49.0,0.22448979591836735
20066,Wayne Hennessey,31,Goalkeeper,40.0,39.0,44,37.0,2009/10,1170.0,0.0,0.0,0.0,1.0,2.4,26.0,0.0,0.0,0.0,0.0,50.0,0.0,39.5,0.9367088607594937
20066,Wayne Hennessey,31,Goalkeeper,45.0,43.0,44,74.0,2010/11,2160.0,0.0,0.0,0.0,0.0,2.4,41.0,5.0,0.0,0.0,0.0,77.0,0.0,44.0,1.6818181818181819
20066,Wayne Hennessey,31,Goalkeeper,45.0,45.0,44,107.0,2011/12,3060.0,2.0,0.0,0.0,0.0,2.4,73.0,3.0,1.0,0.0,0.0,167.0,2.0,45.0,2.3777777777777778
20066,Wayne Hennessey,31,Goalkeeper,45.0,45.0,44,2.0,2013/14,90.0,0.0,3.0,0.0,0.0,2.4,2.0,0.0,0.0,0.0,0.0,3.0,0.0,45.0,0.044444444444444446
20066,Wayne Hennessey,31,Goalkeeper,45.0,43.0,44,9.0,2014/15,216.0,0.0,37.0,0.0,0.0,2.4,2.0,1.0,0.0,0.0,0.0,4.0,0.0,44.0,0.20454545454545456
20066,Wayne Hennessey,31,Goalkeeper,40.0,42.0,44,98.0,2015/16,2610.0,5.0,489.0,0.0,0.0,2.4,36.0,8.0,1.0,0.0,0.0,78.0,0.0,41.0,2.3902439024390243
20066,Wayne Hennessey,31,Goalkeeper,45.0,43.0,44,92.0,2016/17,2610.0,4.0,497.0,0.0,0.0,2.4,46.0,7.0,1.0,0.0,0.0,83.0,0.0,44.0,2.090909090909091
20066,Wayne Hennessey,31,Goalkeeper,45.0,44.0,44,99.0,2017/18,2430.0,11.0,506.0,0.0,0.0,2.4,41.0,7.0,1.0,0.0,0.0,91.0,0.0,44.5,2.2247191011235956
11554,Julian Speroni,31,Goalkeeper,45.0,48.0,39,144.0,2013/14,3330.0,14.0,175.0,0.0,0.0,10.1,46.0,12.0,0.0,0.0,0.0,118.0,0.0,46.5,3.096774193548387
11554,Julian Speroni,31,Goalkeeper,50.0,48.0,39,115.0,2014/15,3204.0,7.0,478.0,0.0,0.0,10.1,49.0,6.0,1.0,0.0,0.0,90.0,2.0,49.0,2.3469387755102042
11554,Julian Speroni,31,Goalkeeper,45.0,42.0,39,5.0,2015/16,180.0,1.0,32.0,0.0,0.0,10.1,6.0,0.0,0.0,0.0,0.0,10.0,0.0,43.5,0.11494252873563218
11554,Julian Speroni,31,Goalkeeper,45.0,43.0,39,0.0,2016/17,0.0,0.0,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0
11554,Julian Speroni,31,Goalkeeper,40.0,40.0,39,36.0,2017/18,990.0,3.0,175.0,0.0,0.0,10.1,14.0,2.0,0.0,0.0,0.0,30.0,0.0,40.0,0.9
111234,Jordan Pickford,11,Goalkeeper,40.0,40.0,49,0.0,2013/14,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
111234,Jordan Pickford,11,Goalkeeper,40.0,40.0,49,0.0,2014/15,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
111234,Jordan Pickford,11,Goalkeeper,40.0,39.0,49,4.0,2015/16,180.0,0.0,41.0,0.0,0.0,13.3,6.0,0.0,0.0,0.0,0.0,11.0,0.0,39.5,0.10126582278481013
111234,Jordan Pickford,11,Goalkeeper,40.0,42.0,49,102.0,2016/17,2610.0,9.0,608.0,0.0,0.0,13.3,50.0,4.0,0.0,0.0,0.0,135.0,0.0,41.0,2.4878048780487805
111234,Jordan Pickford,11,Goalkeeper,50.0,49.0,49,145.0,2017/18,3420.0,16.0,724.0,0.0,0.0,13.3,58.0,10.0,0.0,0.0,0.0,121.0,1.0,49.5,2.9292929292929295
10318,Maarten Stekelenburg,11,Goalkeeper,50.0,48.0,39,48.0,2013/14,1681.0,0.0,77.0,0.0,0.0,3.4,43.0,2.0,0.0,0.0,0.0,79.0,0.0,49.0,0.9795918367346939
10318,Maarten Stekelenburg,11,Goalkeeper,50.0,49.0,39,57.0,2015/16,1530.0,0.0,273.0,0.0,0.0,3.4,19.0,6.0,0.0,0.0,0.0,30.0,0.0,49.5,1.1515151515151516
10318,Maarten Stekelenburg,11,Goalkeeper,50.0,47.0,39,68.0,2016/17,1683.0,3.0,309.0,0.0,0.0,3.4,24.0,4.0,2.0,0.0,0.0,43.0,2.0,48.5,1.402061855670103
10318,Maarten Stekelenburg,11,Goalkeeper,45.0,42.0,39,0.0,2017/18,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,0.0
122074,Marcus Bettinelli,54,Goalkeeper,40.0,40.0,42,0.0,2013/14,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
50093,David Button,36,Goalkeeper,40.0,39.0,40,0.0,2009/10,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,0.0
38038,Ben Hamer,38,Goalkeeper,40.0,40.0,39,31.0,2014/15,720.0,2.0,126.0,0.0,0.0,5.3,8.0,3.0,0.0,0.0,0.0,19.0,0.0,40.0,0.775
38038,Ben Hamer,38,Goalkeeper,40.0,39.0,39,0.0,2015/16,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,0.0
38038,Ben Hamer,38,Goalkeeper,45.0,43.0,39,0.0,2016/17,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0
38038,Ben Hamer,38,Goalkeeper,45.0,43.0,39,9.0,2017/18,274.0,0.0,54.0,0.0,0.0,5.3,7.0,1.0,0.0,0.0,0.0,6.0,0.0,44.0,0.20454545454545456
57513,Jonas Lössl,38,Goalkeeper,45.0,46.0,44,135.0,2017/18,3420.0,11.0,701.0,0.0,1.0,1.5,58.0,10.0,1.0,0.0,0.0,103.0,2.0,45.5,2.967032967032967
17745,Kasper Schmeichel,13,Goalkeeper,35.0,35.0,50,0.0,2006/07,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
17745,Kasper Schmeichel,13,Goalkeeper,40.0,40.0,50,41.0,2007/08,630.0,2.0,0.0,0.0,0.0,4.7,5.0,0.0,0.0,0.0,0.0,24.0,1.0,40.0,1.025
17745,Kasper Schmeichel,13,Goalkeeper,40.0,39.0,50,2.0,2008/09,72.0,0.0,0.0,0.0,0.0,4.7,1.0,0.0,0.0,0.0,0.0,2.0,0.0,39.5,0.05063291139240506
17745,Kasper Schmeichel,13,Goalkeeper,45.0,45.0,50,83.0,2014/15,2160.0,6.0,366.0,0.0,0.0,4.7,37.0,6.0,0.0,0.0,0.0,80.0,0.0,45.0,1.8444444444444446
17745,Kasper Schmeichel,13,Goalkeeper,45.0,50.0,50,147.0,2015/16,3420.0,5.0,724.0,0.0,0.0,4.7,36.0,15.0,2.0,0.0,0.0,100.0,0.0,47.5,3.094736842105263
